period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,n_assets,sum_w
2025-01-09,0.2205391675233841,0.0122253894805908,0.21890453252279546,0,3,1.0
2025-01-13,0.4747505784034729,0.0049008056521415,0.4734790946861504,0,3,1.0
2025-01-15,1.019547462463379,0.0386372208595275,1.0095232521678248,0,3,1.0
2025-01-17,-0.053645770996809,-0.0166899058967828,-0.0552961135362665,0,3,1.0
2025-01-22,0.5044299960136414,-0.0023021753877401,0.4920642665661372,0,3,1.0
2025-01-24,0.3240315318107605,0.0113460877910256,0.31272132157457433,0,3,1.0
2025-01-28,0.9891695976257324,0.0155133260414004,0.978535946751725,0,3,1.0
2025-01-30,0.3538419008255005,0.035411313176155,0.3436493742401194,0,3,1.0
2025-02-03,0.6509056687355042,0.0081835528835654,0.6400636037376356,0,3,1.0
2025-02-05,0.0954997539520263,0.0209646522998809,0.09082068974220542,0,3,1.0
2025-02-07,1.1200019121170044,0.0283362101763486,1.1148845616018992,0,3,1.0
2025-02-11,-0.0179339200258255,-0.0228089392185211,-0.02380004082432788,0,3,1.0
2025-02-13,0.3873247504234314,0.0149997742846608,0.38043451474218515,0,3,1.0
2025-02-18,0.2664448320865631,0.0156088545918464,0.25742519136886655,0,3,1.0
2025-02-20,0.4587682783603668,0.0111293327063322,0.4517251169186478,0,3,1.0
2025-02-24,0.4409408569335937,-0.0122349308803677,0.4323282891292265,0,3,1.0
2025-02-26,0.4383696913719177,0.0124059533700346,0.4315015220723643,0,3,1.0
2025-02-28,-0.3359942734241485,-0.0144045110791921,-0.34274263379141934,0,3,1.0
2025-03-04,-0.19594536167374732,-0.0028753814253225313,-0.3512557154006036,1,3,1.0
2025-03-06,0.7519376873970032,0.0062195253558456,0.4690807804779424,1,3,1.0
2025-03-10,0.4879390394584587,-0.007455847149305551,0.24705049456476033,1,3,0.9999999999999999
2025-03-12,0.11072557480654444,0.009091220911778929,-0.05719580138716813,1,3,1.0
2025-03-14,-0.020165843340207094,-0.0041245027639460604,-0.2056871103702307,1,3,1.0
2025-03-18,-0.0389777272939682,0.0116321165114641,-0.2001755268214865,1,3,1.0
2025-03-20,0.33407358676576676,-0.00460486207919016,0.09023354807351264,1,3,1.0
2025-03-24,0.28394998982498054,-0.0034484196802012385,0.10876074263774324,1,3,1.0
2025-03-26,0.31778237099290474,-0.0006042663726903571,0.15725234637815133,1,3,1.0
2025-03-28,0.4166164994239807,0.0029383650980889,0.19739642095688129,1,3,1.0
2025-04-01,0.8196607232093811,-0.0087153445929288,0.5747779007759579,1,3,1.0
2025-04-03,-0.2201313525438308,-0.0137570202350616,-0.38243781488932993,1,3,1.0
2025-04-07,0.0199435483664274,-0.0503993667662143,-0.21461935745738425,1,3,1.0
2025-04-09,0.0407926738262176,0.0115621807053685,-0.15744708599329685,1,3,1.0
2025-04-11,-0.0785901993513107,0.021012470126152,-0.20477553967304837,1,3,1.0
2025-04-15,0.5070832371711731,0.0043278350494802,0.3803860649754833,1,3,1.0
2025-04-17,0.2476643234093554,-0.0033681643078768584,0.04317683962684284,1,3,1.0
2025-04-22,0.8188630128400378,0.021245312404548317,0.6182506368468089,1,3,1.0
2025-04-24,-0.7116069793701172,0.0168579723685979,-0.8560477269606058,1,3,1.0
2025-04-28,0.2808337211608886,0.0151479402557015,0.11663711060150822,1,3,1.0
2025-04-30,-0.2578003704547882,-0.0041668131016194,-0.41567978230033525,1,3,1.0
2025-05-02,1.0102181434631348,-0.0062326500192284,0.7001318937870078,1,3,1.0
2025-05-06,-0.0351525470614433,0.0297818593680858,-0.18613282877712442,1,3,1.0
2025-05-08,0.8791302436604174,-0.0053325868538132955,0.5753280838192509,1,3,1.0
2025-05-12,1.2606152296066284,-0.0088528245687484,0.9290527193932663,1,3,1.0
2025-05-14,0.4537976682186126,-0.0183446127921342,0.3073347726590699,1,3,1.0
2025-05-16,0.32376503467637324,-0.012295899149873923,0.16207271476462082,1,3,1.0
2025-05-20,0.3303871366744007,0.016392385189151943,0.1578826032796036,1,3,1.0
2025-05-22,-0.5155490636825562,-0.0125095704570412,-0.8654942595263648,1,3,1.0
2025-05-27,0.544904671558871,-0.009351100146150274,0.1939949687964491,1,3,1.0
2025-05-29,1.712263584136963,0.0020435664337128,1.3843689434474755,1,3,1.0
2025-06-02,-0.2759250829561717,0.029714729374965502,-0.5147030539707154,1,3,1.0
2025-06-04,0.0447080358862876,0.0069307503290474,-0.1700572954963003,1,3,1.0
2025-06-06,1.1429896354675293,0.0093706892803311,0.76822926301652,1,3,1.0
