period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money,expected_money
2024-01-08,0.08726667,0.02567403,0.05360647,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-10,0.00855599,-0.00244462,0.00837212,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-01-12,0.01669953,-0.01017351,0.01240895,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-01-17,0.00997017,-0.00161654,0.00591268,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-01-19,0.02006030,0.00027409,0.01262072,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-01-23,0.02798217,-0.00088651,0.01373953,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-01-25,0.14094101,0.00255618,0.09367676,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-29,0.03132257,0.01102036,0.01661967,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-01-31,0.09137844,-0.00725965,0.06713891,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-02,0.01474175,-0.00451531,0.00458985,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-02-06,0.07694855,-0.00364900,0.04385086,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-02-08,0.00039111,-0.00072886,-0.00239890,0,0.00000000,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-02-12,0.13922526,-0.01265861,0.11242539,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-14,0.00030155,0.00133563,-0.00336419,0,0.00000000,2.00000000,20,7,1.00000000,1000.00000000,1000.00000000
2024-02-16,0.02497996,-0.00007251,0.01476408,0,0.00000000,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-02-21,0.18369010,-0.01109749,0.15887401,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-23,0.04337619,0.00799820,0.02325183,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-02-27,0.15204999,0.00443366,0.12474322,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-29,0.05565694,-0.00814615,0.03608770,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-04,0.04882969,0.00806099,0.03256897,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-03-06,0.06550680,0.00286724,0.04146776,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-03-08,0.04070975,0.00466282,0.02405013,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-03-12,0.11860663,-0.01599154,0.09421363,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-14,0.04536061,-0.01535205,0.02807593,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-03-18,0.04855894,-0.00033656,0.03391673,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-03-20,0.15156914,0.01688573,0.10215024,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-22,0.18710455,-0.00633827,0.16256829,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-26,0.04876212,0.00448634,0.02481338,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-28,0.04390198,0.00165250,0.02200348,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-04-02,0.07185893,-0.00501699,0.03110609,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-04,0.15138961,-0.01609504,0.12716739,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-08,0.11559712,-0.00405177,0.09356816,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-10,0.00973310,-0.00394089,0.00750899,0,0.00000000,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-04-12,0.01370399,-0.00421350,0.00253694,0,0.00000000,2.00000000,20,8,1.00000000,1000.00000000,1000.00000000
2024-04-16,0.13768987,-0.01113601,0.11215021,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-18,0.13211001,-0.00582483,0.10804482,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-22,0.11377383,0.00580740,0.08989936,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-24,0.02462941,0.00059288,0.00020769,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-26,0.13401558,-0.00072848,0.05146840,1,3.36084942,2.00000000,20,6,1.00000000,1000.00000000,1000.00000000
2024-04-30,0.01514229,-0.00595861,-0.02692447,1,3.39701650,2.00000000,20,10,1.00000000,1000.00000000,1000.00000000
2024-05-02,0.04286364,0.00574565,-0.01308576,1,3.43138854,2.00000000,20,8,1.00000000,1000.00000000,1000.00000000
2024-05-06,-0.00108245,0.00127142,-0.03828466,1,3.49751597,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-05-08,0.00405662,-0.00148226,-0.03086450,1,3.58739347,2.00000000,20,8,1.00000000,1000.00000000,1000.00000000
2024-05-10,0.01544597,0.00121120,-0.02303213,1,3.53528849,2.00000000,20,9,1.00000000,1000.00000000,1000.00000000
2024-05-14,0.01822141,0.00419167,-0.02233571,1,3.82142289,2.00000000,20,7,1.00000000,1000.00000000,1000.00000000
2024-05-16,-0.00146921,-0.00153588,-0.03801909,1,3.52610133,2.00000000,20,6,1.00000000,1000.00000000,1000.00000000
2024-05-20,0.20199556,0.00913185,0.10058854,1,3.34854402,2.00000000,20,7,1.00000000,1000.00000000,1000.00000000
2024-05-22,0.00856341,-0.00313106,-0.02927194,1,3.62733747,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-05-24,0.08682208,-0.00211018,-0.02774970,1,3.62866104,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-05-29,0.07520392,-0.00506151,-0.02201748,1,3.82295654,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-05-31,0.01507579,0.00172020,-0.03231834,1,3.90872626,2.00000000,20,8,1.00000000,1000.00000000,1000.00000000
2024-06-04,0.00721548,0.00224540,-0.04232388,1,3.91002330,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-06-06,0.00225122,0.00267625,-0.04963700,1,3.92243678,2.00000000,20,11,1.00000000,1000.00000000,1000.00000000
