period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money,expected_money
2024-01-08,0.08726667,0.02567403,0.05360647,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-10,0.00855599,-0.00244462,0.00837212,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-01-12,0.01669953,-0.01017351,0.01240895,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-01-17,0.00997017,-0.00161654,0.00591268,0,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-01-19,0.02006030,0.00027409,0.01262072,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-01-23,0.02798217,-0.00088651,0.01373953,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-01-25,0.14094101,0.00255618,0.09367676,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-01-29,0.03132257,0.01102036,0.01661967,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-01-31,0.09137844,-0.00725965,0.06713891,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-02,0.01474175,-0.00451531,0.00458985,0,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-02-06,0.07694855,-0.00364900,0.04385086,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-02-08,0.00039111,-0.00072886,-0.00239890,0,0.00000000,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-02-12,0.13922526,-0.01265861,0.11242539,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-14,0.00030155,0.00133563,-0.00336419,0,0.00000000,2.00000000,20,7,1.00000000,1000.00000000,1000.00000000
2024-02-16,0.02497996,-0.00007251,0.01476408,0,0.00000000,2.00000000,20,5,1.00000000,1000.00000000,1000.00000000
2024-02-21,0.18369010,-0.01109749,0.15887401,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-23,0.04337619,0.00799820,0.02325183,0,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-02-27,0.15204999,0.00443366,0.12474322,0,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-02-29,0.05565694,-0.00814615,0.03608765,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-04,0.04884528,0.00803695,0.03256878,1,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-03-06,0.06542379,0.00290527,0.04146771,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-03-08,0.04073417,0.00466076,0.02405030,1,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-03-12,0.11860663,-0.01599154,0.09421358,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-14,0.04534828,-0.01534211,0.02807593,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-03-18,0.04856603,-0.00033836,0.03391659,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-03-20,0.15156914,0.01688573,0.10214960,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-22,0.18710455,-0.00633827,0.16256787,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-03-26,0.04876166,0.00448630,0.02481351,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-03-28,0.04390861,0.00165592,0.02200354,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-04-02,0.07185893,-0.00501699,0.03110612,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-04,0.15138961,-0.01609504,0.12716729,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-08,0.11559883,-0.00405277,0.09356815,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-10,0.00973479,-0.00393430,0.00750929,1,0.00000000,2.00000000,20,6,1.00000000,1000.00000000,1000.00000000
2024-04-12,0.01371174,-0.00421919,0.00253678,1,0.00000000,2.00000000,20,8,1.00000000,1000.00000000,1000.00000000
2024-04-16,0.13768987,-0.01113601,0.11214993,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-18,0.13211001,-0.00582483,0.10804468,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-22,0.11377351,0.00580729,0.08989890,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-24,0.02465155,0.00059871,0.00020794,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-04-26,0.23940817,0.00420140,0.20745825,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-04-30,0.14316386,-0.00878226,0.10051057,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-05-02,0.08254274,0.01045428,0.06284955,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-05-06,0.01630984,0.00636719,-0.00103203,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-05-08,0.02110938,-0.00402799,0.00712758,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-05-10,0.09704245,-0.00031834,0.07481175,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
2024-05-14,0.06929006,0.00684120,0.04459803,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-05-16,0.00747703,0.00030532,-0.00411819,1,0.00000000,2.00000000,20,4,1.00000000,1000.00000000,1000.00000000
2024-05-20,0.32184681,0.01802506,0.29349338,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-05-22,0.00853975,-0.00157721,0.00613313,1,0.00000000,2.00000000,20,6,1.00000000,1000.00000000,1000.00000000
2024-05-24,0.17869493,0.00151779,0.14562088,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-05-29,0.19384570,-0.02442491,0.16574798,1,0.00000000,2.00000000,20,1,1.00000000,1000.00000000,1000.00000000
2024-05-31,0.01612736,0.00182545,0.01364817,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-06-04,0.03071215,0.01300118,0.01153193,1,0.00000000,2.00000000,20,3,1.00000000,1000.00000000,1000.00000000
2024-06-06,0.10891779,0.01669239,0.07869850,1,0.00000000,2.00000000,20,2,1.00000000,1000.00000000,1000.00000000
