t0,t1,asset,weight,expected_portfolio_return,realized_portfolio_return,objective,is_robust
2023-02-21,2023-02-28,dow30:AAPL,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:AMGN,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:AXP,0.4240172412961673,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:BA,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:CAT,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:CRM,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:CSCO,0.5759827587038326,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:CVX,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:DIS,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:DOW,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:GS,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:HD,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:HON,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:IBM,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:INTC,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:JPM,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:KO,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:MCD,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:MMM,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:MRK,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:MSFT,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:NKE,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:PFE,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:PG,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:RTX,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:TRV,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:UNH,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:V,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:VZ,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-21,2023-02-28,dow30:WMT,0.0,0.296870393569586,-0.012217625994081775,0.20215889198210577,0
2023-02-28,2023-03-07,dow30:AAPL,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:AMGN,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:AXP,0.1532402652872218,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:BA,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:CAT,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:CRM,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:CSCO,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:CVX,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:DIS,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:DOW,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:GS,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:HD,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:HON,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:IBM,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:INTC,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:JPM,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:KO,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:MCD,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:MMM,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:MRK,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:MSFT,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:NKE,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:PFE,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:PG,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:RTX,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:TRV,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:UNH,0.8467597347127782,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:V,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:VZ,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-02-28,2023-03-07,dow30:WMT,0.0,0.35077423827140536,-0.0029058637712407235,0.26330827146188124,0
2023-03-07,2023-03-14,dow30:AAPL,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:AMGN,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:AXP,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:BA,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:CAT,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:CRM,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:CSCO,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:CVX,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:DIS,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:DOW,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
2023-03-07,2023-03-14,dow30:GS,0.0,0.45444488525390625,0.07523461576002757,0.31138988703317805,0
