t0,t1,expected_portfolio_return x1000,realized_portfolio_return x1000,objective,is_robust,n_assets,sum_w
2023-02-21,2023-02-28,-96,0,-0.10511401510740007,0,7,1.0
2023-02-28,2023-03-07,368,13,0.29461454368179546,0,7,1.0
2023-03-07,2023-03-14,62,27,0.022969105662454154,0,7,1.0
2023-03-14,2023-03-21,32,-4,0.021719288605445423,0,7,1.0
2023-03-21,2023-03-28,91,-9,0.03229629913557588,0,7,1.0
2023-03-28,2023-04-04,171,18,0.11238488952556583,0,7,1.0
2023-04-04,2023-04-12,91,1,0.06693132891217678,0,7,1.0
2023-04-12,2023-04-19,380,-13,0.32208626953056546,0,7,1.0
2023-04-19,2023-04-26,117,7,0.04582027596388233,0,7,1.0
2023-04-26,2023-05-03,166,5,0.1185240366693204,0,7,1.0
2023-05-03,2023-05-10,971,-11,0.9004379254007089,0,7,1.0
2023-05-10,2023-05-17,568,-24,0.4968369372419301,0,7,1.0
2023-05-17,2023-05-24,752,-12,0.6809335468201111,0,7,1.0
2023-05-24,2023-06-01,1130,30,1.059730030829217,0,7,1.0
2023-06-01,2023-06-08,23,0,0.010936912709882519,0,7,1.0
2023-06-08,2023-06-15,89,3,0.04898503829218132,0,7,1.0
2023-06-15,2023-06-23,108,3,0.05061528405480504,0,7,1.0
2023-06-23,2023-06-30,288,11,0.24622806452426285,0,7,1.0
2023-06-30,2023-07-10,141,-4,0.10099019233809378,0,7,1.0
2023-07-10,2023-07-17,16,3,0.0062271968661090655,0,7,1.0
2023-07-17,2023-07-24,891,-4,0.2582279163771601,1,7,1.0
2023-07-24,2023-07-31,-54,2,-0.14064573355992718,1,7,1.0
2023-07-31,2023-08-07,253,1,0.05918593600771437,1,7,1.0
2023-08-07,2023-08-14,359,-1,0.1468142066718598,1,7,1.0
2023-08-14,2023-08-21,51,0,-0.024040795169754842,1,7,1.0
2023-08-21,2023-08-28,49,1,-0.012101918910434122,1,7,1.0
2023-08-28,2023-09-05,215,-7,0.041611383370780755,1,7,1.0
2023-09-05,2023-09-12,-134,1,-0.202332468920126,1,7,1.0
2023-09-12,2023-09-19,471,-8,0.2166981415010937,1,7,1.0
2023-09-19,2023-09-26,64,-2,-0.02335174288686717,1,7,1.0
2023-09-26,2023-10-03,16,0,-0.06105136825227668,1,7,0.9999999999999999
2023-10-03,2023-10-10,49,3,-0.03012146098185166,1,7,1.0
2023-10-10,2023-10-17,-42,-3,-0.11704249719199537,1,7,1.0
2023-10-17,2023-10-24,20,3,-0.054409970370838154,1,7,1.0
2023-10-24,2023-10-31,16,2,-0.06029391549637998,1,7,1.0
2023-10-31,2023-11-07,296,14,0.04915469131135498,1,7,1.0
2023-11-07,2023-11-14,233,8,0.032460662690235995,1,7,1.0
2023-11-14,2023-11-21,-32,1,-0.10925187012273453,1,7,1.0
2023-11-21,2023-11-29,1747,19,0.8648562295537386,1,7,1.0
2023-11-29,2023-12-06,-179,2,-0.2692452257263102,1,7,1.0
2023-12-06,2023-12-13,61,3,-0.03718494235089775,1,7,1.0
2023-12-13,2023-12-20,267,1,-0.006826523778564365,1,7,1.0
2023-12-20,2023-12-28,465,3,0.07836108572629878,1,7,1.0
2023-12-28,2024-01-05,326,-8,0.1076376825058836,1,7,0.9999999999999999
2024-01-05,2024-01-12,1040,-7,0.10176008642340506,1,7,1.0
2024-01-12,2024-01-22,530,-1,0.25155795030931805,1,7,1.0
2024-01-22,2024-01-29,404,9,0.11642880821886635,1,7,1.0
2024-01-29,2024-02-05,427,-9,0.13414299168025418,1,7,1.0
2024-02-05,2024-02-12,-43,-1,-0.14368766350061624,1,7,0.9999999999999999
2024-02-12,2024-02-20,-63,1,-0.14612474353621502,1,7,1.0
2024-02-20,2024-02-27,541,3,0.2834959066784521,1,7,1.0
2024-02-27,2024-03-05,-124,2,-0.21565609820802936,1,7,1.0
2024-03-05,2024-03-12,-154,0,-0.25880281073274247,1,7,1.0
2024-03-12,2024-03-19,48,0,-0.053105090597684534,1,7,1.0
2024-03-19,2024-03-26,-14,0,-0.11713391281834754,1,7,1.0
2024-03-26,2024-04-03,-33,-1,-0.13145226474376587,1,7,1.0
2024-04-03,2024-04-10,-2,-5,-0.09957905385846867,1,7,1.0
2024-04-10,2024-04-17,-67,0,-0.1659500301095638,1,7,1.0
2024-04-17,2024-04-24,-87,1,-0.18722464428827465,1,7,1.0
2024-04-24,2024-05-01,-19,1,-0.14523531269229553,1,7,1.0
2024-05-01,2024-05-08,-3,1,-0.0936835404307056,1,7,1.0
2024-05-08,2024-05-15,1755,16,0.9925913884065742,1,7,1.0
2024-05-15,2024-05-22,0,-1,-0.08985497524273513,1,7,1.0
2024-05-22,2024-05-30,19,0,-0.06760840423567645,1,7,1.0
2024-05-30,2024-06-06,95,3,-0.006848278977882261,1,7,1.0
2024-06-06,2024-06-13,-74,4,-0.15494430558797517,1,7,1.0
2024-06-13,2024-06-21,-42,0,-0.12182093302174077,1,7,1.0
2024-06-21,2024-06-28,91,0,-0.003015301672715192,1,7,1.0
2024-06-28,2024-07-08,-33,4,-0.11458642901741098,1,7,1.0
2024-07-08,2024-07-15,-56,4,-0.13790505110874662,1,7,1.0
2024-07-15,2024-07-22,34,0,-0.04576776852387525,1,7,1.0
2024-07-22,2024-07-29,292,2,-0.047245024249210975,1,7,1.0
2024-07-29,2024-08-05,117,4,0.02136693488471287,1,7,1.0
2024-08-05,2024-08-12,36,0,-0.028794187747167507,1,7,1.0
2024-08-12,2024-08-19,4,1,-0.10757055892239711,1,7,1.0
2024-08-19,2024-08-26,-49,2,-0.1542501314078815,1,7,1.0
2024-08-26,2024-09-03,-11,0,-0.08418936647311114,1,7,1.0
2024-09-03,2024-09-10,191,2,-0.04345245204578122,1,7,1.0
2024-09-10,2024-09-17,322,1,-9.71783582064718e-05,1,7,1.0
2024-09-17,2024-09-24,37,2,-0.050794415511193285,1,7,1.0
2024-09-24,2024-10-01,19,0,-0.05646155580594422,1,7,1.0
2024-10-01,2024-10-08,117,-8,-0.0341205253053317,1,7,1.0
2024-10-08,2024-10-15,-87,1,-0.15939576465103605,1,7,1.0
2024-10-15,2024-10-22,1,-1,-0.07042772889250537,1,7,1.0
2024-10-22,2024-10-29,-29,0,-0.10118209947733399,1,7,1.0
2024-10-29,2024-11-05,1159,8,0.5603808310503079,1,7,1.0
2024-11-05,2024-11-12,685,5,0.0580510285014318,1,7,1.0
2024-11-12,2024-11-19,125,4,-0.0591075350787507,1,7,1.0
2024-11-19,2024-11-26,-1,1,-0.07234547221875866,1,7,1.0
2024-11-26,2024-12-04,17,2,-0.04859931403359543,1,7,1.0
2024-12-04,2024-12-11,83,0,0.011106303718580754,1,7,1.0
2024-12-11,2024-12-18,19,-2,-0.054979995713481514,1,7,1.0
2024-12-18,2024-12-26,-31,1,-0.10500230281584999,1,7,1.0
2024-12-26,2025-01-03,171,2,0.01702836627671492,1,7,0.9999999999999999
2025-01-03,2025-01-13,24,-1,-0.04568433485010916,1,7,1.0
2025-01-13,2025-01-21,-37,7,-0.12663970441319503,1,7,1.0
2025-01-21,2025-01-28,53,2,-0.023103226547638668,1,7,0.9999999999999999
2025-01-28,2025-02-04,-2,1,-0.0653018360760317,1,7,1.0
2025-02-04,2025-02-11,-91,-2,-0.1590617554424241,1,7,1.0
2025-02-11,2025-02-19,-167,2,-0.2362242450922033,1,7,1.0
2025-02-19,2025-02-26,44,4,-0.056098661833593515,1,7,1.0
2025-02-26,2025-03-05,-76,1,-0.14909399764497513,1,7,1.0
2025-03-05,2025-03-12,17,0,-0.05117583675743284,1,7,1.0
2025-03-12,2025-03-19,77,0,-0.021279667560362283,1,7,1.0
2025-03-19,2025-03-26,246,-3,0.060419993834330867,1,7,1.0
2025-03-26,2025-04-02,1098,6,0.7720370327309746,1,7,1.0
2025-04-02,2025-04-09,-10,-3,-0.08495939429758222,1,7,1.0
2025-04-09,2025-04-16,43,2,-0.03199706149551075,1,7,1.0
2025-04-16,2025-04-24,184,12,-0.05702210709748853,1,7,1.0
2025-04-24,2025-05-01,-89,1,-0.1661000865935367,1,7,1.0
2025-05-01,2025-05-08,331,0,0.07045874632465073,1,7,1.0
2025-05-08,2025-05-15,-15,0,-0.09180632629020988,1,7,1.0
2025-05-15,2025-05-22,379,-11,0.04764370194263526,1,7,1.0
2025-05-22,2025-05-30,80,3,-0.03987948294071266,1,7,1.0
2025-05-30,2025-06-06,44,0,-0.070752334253711,1,7,1.0
2025-06-06,2025-06-13,181,0,-0.2375314097862432,1,7,1.0
2025-06-13,2025-06-23,1214,15,0.42696703757714305,1,7,1.0
2025-06-23,2025-06-30,168,2,0.028428916081631086,1,7,0.9999999999999999
2025-06-30,2025-07-08,749,-11,0.2420041863113499,1,7,1.0
2025-07-08,2025-07-15,288,-3,-0.010997176944442095,1,7,1.0
2025-07-15,2025-07-22,-94,2,-0.23827474384793704,1,7,1.0
2025-07-22,2025-07-29,-80,0,-0.2157288781083559,1,7,1.0
2025-07-29,2025-08-05,-91,4,-0.22797088513149383,1,7,1.0
2025-08-05,2025-08-12,-60,0,-0.19575863620331013,1,7,1.0
2025-08-12,2025-08-19,-9,-1,-0.14647029445676144,1,7,1.0
2025-08-19,2025-08-26,30,1,-0.10903538984159666,1,7,1.0
2025-08-26,2025-09-03,94,1,-0.062080193832085365,1,7,1.0
2025-09-03,2025-09-10,128,1,-0.010435849095818664,1,7,1.0
2025-09-10,2025-09-17,80,0,-0.09378740111100214,1,7,1.0
2025-09-17,2025-09-24,57,0,-0.07461597568544683,1,7,1.0
2025-09-24,2025-10-01,350,3,0.027974730360321387,1,7,1.0
2025-10-01,2025-10-08,1169,-3,0.4267413943284248,1,7,1.0
2025-10-08,2025-10-15,67,3,-0.08172506491238214,1,7,1.0
2025-10-15,2025-10-22,481,2,0.2700124218425253,1,7,0.9999999999999999
2025-10-22,2025-10-29,888,-3,0.14719035809033898,1,7,1.0
2025-10-29,2025-11-05,-13,0,-0.09313636403800607,1,7,1.0
2025-11-05,2025-11-12,52,2,-0.07301253244560817,1,7,1.0
2025-11-12,2025-11-19,-82,0,-0.18246733832980516,1,7,0.9999999999999999
2025-11-19,2025-11-26,422,14,0.12575732669702264,1,7,1.0
