period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money,expected_money
2024-01-08,0.00390080,0.02807483,0.00382635,0,0.00000000,1.00000000,40,2,1.00000000,1000.00000000,1000.00000000
2024-01-10,0.00334562,-0.00581461,0.00327671,0,0.00000000,1.00000000,40,4,1.00000000,1000.00000000,1000.00000000
2024-01-12,0.00283728,0.00336201,0.00277740,0,0.00000000,1.00000000,40,5,1.00000000,1000.00000000,1000.00000000
2024-01-17,0.00280923,0.00107766,0.00275435,0,0.00000000,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-01-19,0.00264270,0.01236690,0.00257717,0,0.00000000,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-01-23,0.00176002,0.00517020,0.00059578,0,0.00000000,1.00000000,40,8,1.00000000,1000.00000000,1000.00000000
2024-01-25,0.00191713,-0.00228052,0.00081677,0,0.00000000,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-01-29,0.00225840,0.00746289,0.00095589,0,0.00000000,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-01-31,0.00241801,-0.00818525,0.00050085,0,0.00000000,1.00000000,40,8,1.00000000,1000.00000000,1000.00000000
2024-02-02,0.00129569,-0.00030872,0.00044067,0,0.00000000,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-02-06,0.00135012,-0.00021644,0.00039216,0,0.00000000,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-02-08,0.00162241,-0.00132763,0.00042817,0,0.00000000,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-02-12,0.00187460,-0.00041569,0.00046630,0,0.00000000,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-02-14,0.00174373,0.00279291,0.00044961,0,0.00000000,1.00000000,40,15,1.00000000,1000.00000000,1000.00000000
2024-02-16,0.00150830,-0.00525911,0.00044136,0,0.00000000,1.00000000,40,13,1.00000000,1000.00000000,1000.00000000
2024-02-21,0.00092549,-0.00230878,-0.00005675,0,0.00000000,1.00000000,40,15,1.00000000,1000.00000000,1000.00000000
2024-02-23,0.00062608,0.00083677,-0.00019688,0,0.00000000,1.00000000,40,15,1.00000000,1000.00000000,1000.00000000
2024-02-27,0.00072048,-0.00291578,-0.00011878,0,0.00000000,1.00000000,40,15,1.00000000,1000.00000000,1000.00000000
2024-02-29,0.00073616,0.00066301,-0.00018898,0,0.00000000,1.00000000,40,13,1.00000000,1000.00000000,1000.00000000
2024-03-04,0.00072491,-0.00135823,-0.00016688,0,0.00000000,1.00000000,40,14,1.00000000,1000.00000000,1000.00000000
2024-03-06,0.00077352,0.00114443,-0.00020648,0,0.00000000,1.00000000,40,13,1.00000000,1000.00000000,1000.00000000
2024-03-08,0.00079471,-0.00026501,-0.00020404,0,0.00000000,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-03-12,0.00082812,0.00039839,-0.00017911,0,0.00000000,1.00000000,40,12,1.00000000,1000.00000000,1000.00000000
2024-03-14,0.00091440,-0.00125621,-0.00012005,0,0.00000000,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-03-18,0.00140569,0.00096135,-0.00003641,0,0.00000000,1.00000000,40,14,1.00000000,1000.00000000,1000.00000000
2024-03-20,0.00187116,0.00988629,0.00002089,0,0.00000000,1.00000000,40,19,1.00000000,1000.00000000,1000.00000000
2024-03-22,0.00221563,-0.00428849,-0.00011992,0,0.00000000,1.00000000,40,14,1.00000000,1000.00000000,1000.00000000
2024-03-26,0.00198603,-0.00027822,-0.00019288,0,0.00000000,1.00000000,40,19,1.00000000,1000.00000000,1000.00000000
2024-03-28,0.00239669,0.00310561,0.00004810,0,0.00000000,1.00000000,40,16,1.00000000,1000.00000000,1000.00000000
2024-04-02,0.00249180,-0.00728558,0.00014164,0,0.00000000,1.00000000,40,16,1.00000000,1000.00000000,1000.00000000
2024-04-04,0.00139661,-0.00266866,-0.00027020,0,0.00000000,1.00000000,40,18,1.00000000,1000.00000000,1000.00000000
2024-04-08,0.00109402,0.00011924,-0.00032368,0,0.00000000,1.00000000,40,18,1.00000000,1000.00000000,1000.00000000
2024-04-10,0.00114219,-0.00490430,-0.00032963,0,0.00000000,1.00000000,40,15,1.00000000,1000.00000000,1000.00000000
2024-04-12,0.00117857,-0.00425087,-0.00059258,0,0.00000000,1.00000000,40,16,1.00000000,1000.00000000,1000.00000000
2024-04-16,0.00089703,-0.00014775,-0.00062713,0,0.00000000,1.00000000,40,15,1.00000000,1000.00000000,1000.00000000
2024-04-18,0.00091334,0.00130264,-0.00060809,0,0.00000000,1.00000000,40,17,1.00000000,1000.00000000,1000.00000000
2024-04-22,0.00091698,-0.00004109,-0.00059940,0,0.00000000,1.00000000,40,14,1.00000000,1000.00000000,1000.00000000
2024-04-24,0.00091334,-0.00082557,-0.00055984,0,0.00000000,1.00000000,40,17,1.00000000,1000.00000000,1000.00000000
2024-04-26,0.00032026,0.00022200,-0.01127386,1,9.88660025,1.00000000,40,12,1.00000000,1000.00000000,1000.00000000
2024-04-30,0.00029599,-0.00372097,-0.01007657,1,8.76034526,1.00000000,40,12,1.00000000,1000.00000000,1000.00000000
2024-05-02,0.00030870,0.00196137,-0.01291101,1,10.61985560,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-05-06,0.00036321,0.00034785,-0.01317361,1,10.67169589,1.00000000,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-08,0.00036002,-0.00035343,-0.01167269,1,9.40517217,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-05-10,0.00029785,0.00027531,-0.01142647,1,9.37331165,1.00000000,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-14,0.00027752,0.00097327,-0.01040860,1,8.77665620,1.00000000,40,9,1.00000000,1000.00000000,1000.00000000
2024-05-16,0.00039991,0.00157266,-0.00928873,1,7.97897338,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-05-20,0.00037905,-0.00193007,-0.00899172,1,7.62797383,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-05-22,0.00034533,-0.00148730,-0.00837975,1,7.59648996,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-05-24,0.00031120,0.00069224,-0.00853377,1,7.64029676,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-05-29,0.00026075,-0.00139211,-0.00936983,1,8.39777493,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-05-31,0.00023320,0.00235827,-0.00861674,1,8.40588808,1.00000000,40,10,1.00000000,1000.00000000,1000.00000000
2024-06-04,0.00024689,0.00119209,-0.00865170,1,8.36394935,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-06-06,0.00025130,0.00181636,-0.00852403,1,8.10438665,1.00000000,40,8,1.00000000,1000.00000000,1000.00000000
2024-06-10,0.00012860,0.00046751,-0.00807419,1,7.29443117,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-06-12,0.00014907,0.00108067,-0.00799813,1,7.34860306,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-06-14,0.00018179,0.00026873,-0.00771253,1,7.05141421,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-06-18,0.00016668,0.00164556,-0.00783606,1,7.20748405,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-06-21,0.00019165,0.00010466,-0.00872010,1,7.89281863,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-06-25,0.00019893,-0.00089062,-0.00820245,1,7.38698056,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-06-27,0.00015408,0.00072439,-0.00835548,1,7.47502116,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-07-01,0.00016936,-0.00148241,-0.00878528,1,7.92555209,1.00000000,40,9,1.00000000,1000.00000000,1000.00000000
2024-07-03,0.00010975,0.00153253,-0.00831392,1,7.27254895,1.00000000,40,11,1.00000000,1000.00000000,1000.00000000
2024-07-08,0.00012181,-0.00017836,-0.00845432,1,7.21643339,1.00000000,40,9,1.00000000,1000.00000000,1000.00000000
2024-07-10,0.00009105,0.00098702,-0.00890678,1,7.67637161,1.00000000,40,9,1.00000000,1000.00000000,1000.00000000
2024-07-12,0.00013660,0.00136122,-0.00885698,1,7.79495171,1.00000000,40,8,1.00000000,1000.00000000,1000.00000000
2024-07-16,0.00016156,0.00045970,-0.01159678,1,10.33471381,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-07-18,0.00016422,-0.00103849,-0.00790811,1,7.08967337,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-07-22,0.00009812,0.00021309,-0.00816366,1,7.23553210,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-07-24,0.00008324,0.00058542,-0.00794896,1,7.02062178,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-07-26,0.00007364,0.00426652,-0.00791912,1,7.00535554,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-07-30,0.00013055,-0.00179311,-0.00807400,1,7.00153363,1.00000000,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-01,0.00010550,0.00196818,-0.00889674,1,7.74023866,1.00000000,40,4,1.00000000,1000.00000000,1000.00000000
2024-08-05,0.00013914,-0.00102468,-0.00925909,1,7.99912602,1.00000000,40,7,1.00000000,1000.00000000,1000.00000000
2024-08-07,0.00012770,-0.00060796,-0.00710233,1,7.63396806,1.00000000,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-09,0.00009045,0.00028235,-0.00668398,1,7.01145003,1.00000000,40,5,1.00000000,1000.00000000,1000.00000000
2024-08-13,0.00011319,0.00160046,-0.00642653,1,6.87700824,1.00000000,40,6,1.00000000,1000.00000000,1000.00000000
2024-08-15,0.00015649,-0.00208469,-0.00654605,1,6.94730768,1.00000000,40,4,1.00000000,1000.00000000,1000.00000000
