Date,EMB,HYG,IEF,LQD,SHY,TIP,TLT
2022-01-03,88.135009765625,69.2310562133789,100.9193344116211,111.56244659423828,75.76004791259766,110.55916595458984,125.29539489746094
2022-01-04,88.08605194091797,69.055908203125,100.8661880493164,111.65604400634766,75.80440521240234,110.13745880126953,124.7743911743164
2022-01-05,87.24533081054688,68.52257537841797,100.44102478027344,111.00082397460938,75.70683288574219,109.24240112304688,124.09712219238281
2022-01-06,87.16373443603516,68.53052520751953,100.19295501708984,110.85618591308594,75.6447982788086,108.76903533935547,124.41832733154297
2022-01-07,86.99234771728516,68.35539245605469,99.8652572631836,110.37966918945312,75.6270751953125,108.63993835449219,123.52400207519531
2022-01-10,86.69847869873047,68.4111099243164,99.83866119384766,110.27758026123047,75.58273315429688,108.77764892578125,123.82792663574219
2022-01-11,86.87804412841797,68.72953033447266,100.07786560058594,110.60942077636719,75.60932922363281,109.53501892089844,124.65280151367188
2022-01-12,86.69847869873047,68.84097290039062,100.09553527832031,110.53287506103516,75.58273315429688,108.82927703857422,124.17524719238281
2022-01-13,86.40460968017578,68.59419250488281,100.41448211669922,110.88169860839844,75.61820983886719,108.85511779785156,125.27799987792969
2022-01-14,85.64556884765625,68.53052520751953,99.7235107421875,109.90319061279297,75.52066040039062,108.36454010009766,123.3851089477539
2022-01-18,84.85382080078125,68.19622039794922,98.9706039428711,108.85655212402344,75.40538024902344,107.84813690185547,121.64852142333984
2022-01-19,85.4251480102539,68.13249969482422,99.20977020263672,109.0267562866211,75.44084930419922,107.62435913085938,122.49073791503906
2022-01-20,85.7271728515625,68.00515747070312,99.42237091064453,108.96717834472656,75.423095703125,107.75343322753906,123.24622344970703
2022-01-21,86.18426513671875,68.01309204101562,99.99813079833984,109.68191528320312,75.48519134521484,108.42477416992188,124.71360778808594
2022-01-24,85.60472869873047,67.94145202636719,99.90951538085938,109.34156799316406,75.529541015625,108.67436981201172,123.68896484375
2022-01-25,85.7353744506836,67.74242401123047,99.77664184570312,109.03524780273438,75.49407958984375,108.48501586914062,123.48930358886719
2022-01-26,85.28641510009766,67.51158142089844,99.06803131103516,108.29495239257812,75.36101531982422,107.79651641845703,121.99580383300781
2022-01-27,85.76800537109375,67.21705627441406,99.48435974121094,108.54170989990234,75.2989730834961,108.23542785644531,124.23603057861328
2022-01-28,86.03732299804688,67.40811157226562,99.71464538574219,108.66082763671875,75.3255844116211,108.61412048339844,124.27947235107422
2022-01-31,86.0128402709961,67.42403411865234,99.71464538574219,108.7119140625,75.3255844116211,108.90673828125,123.63690948486328
2022-02-01,86.23649597167969,67.6916732788086,99.57987976074219,108.89263153076172,75.3193588256836,108.19768524169922,123.22649383544922
2022-02-02,86.62965393066406,67.79554748535156,99.78380584716797,108.90116882324219,75.33711242675781,108.318603515625,123.64389038085938
2022-02-03,85.88423919677734,67.1883544921875,99.35820770263672,108.02305603027344,75.2750015258789,107.63633728027344,122.67866516113281
2022-02-04,85.47471618652344,66.9247055053711,98.595703125,106.9488525390625,75.12422943115234,107.01448059082031,120.87010192871094
2022-02-07,85.37640380859375,66.87680053710938,98.62230682373047,107.14494323730469,75.1419677734375,106.9712905883789,120.94841766357422
2022-02-08,85.15523529052734,66.80487823486328,98.30310821533203,106.74427795410156,75.06214141845703,106.83313751220703,120.1397476196289
2022-02-09,85.45831298828125,67.1563949584961,98.43609619140625,107.10234069824219,75.05329895019531,107.0404052734375,120.36580657958984
2022-02-10,84.33612060546875,66.26961517333984,97.53170013427734,105.64453125,74.67189025878906,106.1854019165039,118.45291137695312
2022-02-11,83.84465789794922,66.0379409790039,98.54251098632812,106.42884063720703,74.90248107910156,107.1353988647461,120.20934295654297
2022-02-14,84.16412353515625,65.92608642578125,97.85979461669922,105.4825668334961,74.74285125732422,106.85039520263672,118.71376037597656
2022-02-15,84.48356628417969,66.0379409790039,97.56716918945312,104.95399475097656,74.76947021484375,106.4099349975586,117.36598205566406
2022-02-16,84.72930145263672,66.40542602539062,97.77111053466797,105.10745239257812,74.86705780029297,106.61721801757812,118.0616455078125
2022-02-17,84.33612060546875,66.12580871582031,98.29425048828125,105.18415832519531,74.91134643554688,106.85903930664062,118.93981170654297
2022-02-18,84.36891174316406,66.22166442871094,98.61341094970703,105.43994903564453,74.9202651977539,107.21315002441406,120.19193267822266
2022-02-22,83.30406188964844,66.06990051269531,98.60455322265625,105.30352783203125,74.84927368164062,107.54129791259766,120.50489807128906
2022-02-23,81.90335083007812,65.9500732421875,98.0903091430664,104.34867095947266,74.8049545288086,107.61903381347656,118.84416198730469
2022-02-24,81.0760498046875,66.42137908935547,98.32083129882812,104.84317016601562,74.86705780029297,108.05948638916016,118.9224624633789
2022-02-25,82.0508041381836,66.79690551757812,98.29425048828125,105.26942443847656,74.86705780029297,107.96449279785156,119.00941467285156
2022-02-28,81.25625610351562,66.84481811523438,99.41141510009766,106.3947525024414,75.00006103515625,109.83863067626953,121.617919921875
2022-03-01,80.00345611572266,66.65799713134766,100.37958526611328,106.7586669921875,75.17308044433594,110.62510681152344,123.02400207519531
2022-03-02,79.83079528808594,66.818359375,98.87098693847656,105.13552856445312,74.92463684082031,109.90699005126953,118.8187484741211
2022-03-03,79.48553466796875,66.6178970336914,99.29692840576172,105.51998138427734,74.92463684082031,109.77718353271484,120.02900695800781
2022-03-04,77.775634765625,66.18490600585938,100.28201293945312,105.62249755859375,75.00450897216797,110.61641693115234,122.10115814208984
2022-03-07,77.16731262207031,65.60758209228516,99.85601806640625,104.34107971191406,74.90690612792969,111.21341705322266,121.1695327758789
