Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WMT
2022-01-03,178.27032470703125,199.6595458984375,159.62197875976562,207.86000061035156,191.70974731445312,252.39334106445312,55.79827117919922,101.48243713378906,153.1533203125,45.27983093261719,357.21575927734375,369.339599609375,179.0200958251953,116.16974639892578,49.350486755371094,144.92950439453125,52.6270637512207,245.08636474609375,127.52792358398438,67.96862030029297,323.8983459472656,154.49871826171875,45.365718841552734,146.32089233398438,79.42512512207031,144.05508422851562,469.4798889160156,214.85614013671875,39.93312072753906,45.76540756225586
2022-01-04,176.00779724121094,200.67247009277344,164.74630737304688,213.6300048828125,201.97132873535156,245.25013732910156,54.429752349853516,103.32894897460938,152.14700317382812,46.50597381591797,368.19439697265625,373.1357116699219,180.924560546875,117.86054992675781,49.28556442260742,150.4237823486328,53.505653381347656,245.02255249023438,129.31451416015625,68.09239196777344,318.3445129394531,156.1124725341797,43.66800308227539,146.83290100097656,82.21053314208984,147.0610809326172,458.843017578125,215.8555908203125,40.717464447021484,44.92698669433594
2022-01-05,171.3260040283203,198.2943572998047,162.99072265625,213.07000732421875,203.5179443359375,224.9369659423828,53.56776428222656,104.0011978149414,151.61944580078125,46.45820617675781,360.1976318359375,368.07421875,182.70785522460938,118.03132629394531,49.96261215209961,147.67367553710938,53.94938659667969,243.8180389404297,128.78353881835938,69.74584197998047,306.1238708496094,152.2281951904297,44.54888916015625,147.49757385253906,81.799560546875,147.7732696533203,457.7120666503906,213.46859741210938,41.13628387451172,45.534446716308594
2022-01-06,168.46600341796875,198.32080078125,164.4842987060547,211.33999633789062,205.59254455566406,226.39918518066406,54.13650131225586,104.88617706298828,153.29010009765625,46.370628356933594,358.6615295410156,366.736572265625,182.5000762939453,115.5719985961914,50.09245681762695,149.24256896972656,53.6653938293457,246.0993194580078,127.71448516845703,69.70164489746094,303.7049255371094,151.09292602539062,43.916259765625,146.25804138183594,82.24706268310547,150.1410369873047,438.98065185546875,213.2260284423828,40.938297271728516,45.40789031982422
2022-01-07,168.6324920654297,200.18800354003906,165.89231872558594,215.5,207.6300048828125,225.5692596435547,54.323116302490234,106.39231872558594,154.19869995117188,47.055355072021484,359.18560791015625,355.7550354003906,186.76780700683594,115.1364974975586,49.563804626464844,150.72129821777344,53.54115295410156,243.69935607910156,129.1136016845703,71.0014419555664,303.8597412109375,147.27432250976562,44.6209602355957,146.1771697998047,82.59407806396484,153.7574462890625,428.6523132324219,210.5188751220703,41.80146026611328,45.84133529663086
2022-01-10,168.652099609375,202.90077209472656,165.28347778320312,209.30999755859375,205.26832580566406,226.87344360351562,54.936279296875,106.46039581298828,152.9970245361328,46.498008728027344,360.6855163574219,350.196533203125,184.78543090820312,115.30728149414062,51.20541763305664,150.86557006835938,53.62990188598633,241.28118896484375,127.2911376953125,72.83172607421875,304.08233642578125,141.14764404296875,45.037384033203125,144.18309020996094,81.9456787109375,151.74114990234375,434.63433837890625,205.67703247070312,41.51630401611328,45.75275802612305
2022-01-11,171.48272705078125,204.67108154296875,166.8436279296875,216.02000427246094,203.70318603515625,232.02088928222656,55.425045013427734,108.8940658569336,154.25730895996094,47.11905288696289,364.1914367675781,349.4825134277344,187.25257873535156,113.4627685546875,51.85464096069336,151.01882934570312,53.64764404296875,239.1914825439453,128.41763305664062,72.21278381347656,304.76922607421875,141.01629638671875,45.39774703979492,142.5124053955078,82.84980010986328,150.90875244140625,438.37310791015625,208.01548767089844,41.30052185058594,45.62303924560547
2022-01-12,171.9234619140625,204.12501525878906,165.97792053222656,217.4499969482422,205.97222900390625,234.97499084472656,55.20287322998047,108.34947204589844,154.1693878173828,47.18274688720703,352.67974853515625,351.9499206542969,188.93202209472656,114.07759094238281,51.69697570800781,151.8754425048828,53.72751998901367,238.09645080566406,128.7333221435547,71.79721069335938,307.95257568359375,142.808349609375,45.365718841552734,142.8267822265625,83.1694564819336,150.7329864501953,442.7848815917969,209.30593872070312,41.192623138427734,45.38258361816406
2022-01-13,168.652099609375,203.32351684570312,164.85533142089844,223.89999389648438,210.23243713378906,225.88546752929688,54.651920318603516,107.89848327636719,151.86370849609375,47.72415542602539,353.12249755859375,349.7626953125,189.9534454345703,115.07669830322266,50.95499801635742,151.68605041503906,54.04701614379883,238.54360961914062,129.88131713867188,71.9032974243164,294.91925048828125,140.35012817382812,44.47681427001953,142.18008422851562,83.6169204711914,150.8069610595703,436.9056396484375,208.61700439453125,41.2465705871582,46.02485656738281
2022-01-14,169.5139923095703,207.29574584960938,160.20335388183594,225.9600067138672,212.0291290283203,228.4542236328125,54.527503967285156,109.73650360107422,148.44422912597656,48.36111831665039,344.2131652832031,336.223388671875,188.41258239746094,114.60706329345703,51.659881591796875,142.36293029785156,54.48187255859375,235.167236328125,128.24542236328125,71.95634460449219,300.144287109375,139.02725219726562,44.00434112548828,143.54539489746094,84.32013702392578,150.95498657226562,438.0833740234375,208.29681396484375,41.06160354614258,45.8951301574707
2022-01-18,166.31121826171875,205.9481964111328,158.08189392089844,225.00999450683594,212.89047241210938,223.34629821777344,53.07900619506836,110.09387969970703,148.76663208007812,47.93116760253906,320.2318420410156,331.45123291015625,184.8979949951172,113.52252960205078,50.78805923461914,136.3939666748047,54.04701614379883,234.0448760986328,127.91541290283203,72.09782409667969,292.8389892578125,137.87326049804688,43.3316764831543,140.77886962890625,82.87720489501953,151.2879638671875,430.8861999511719,209.30593872070312,41.17721939086914,45.09150314331055
2022-01-19,162.81454467773438,203.71981811523438,153.53451538085938,217.0800018310547,206.28298950195312,223.55377197265625,52.341426849365234,109.6939468383789,146.6563262939453,47.6445426940918,313.8345031738281,325.09735107421875,182.42218017578125,112.3611831665039,49.73074722290039,134.2840576171875,54.13575744628906,232.89505004882812,128.0588836669922,71.87679290771484,293.4969177246094,136.14688110351562,42.87521743774414,145.5125274658203,81.91828918457031,148.05075073242188,432.3163146972656,208.30653381347656,41.23115539550781,45.540771484375
2022-01-20,161.12986755371094,201.60604858398438,153.08740234375,214.19000244140625,201.60194396972656,220.2637481689453,51.612735748291016,109.30250549316406,144.22361755371094,46.02825164794922,314.5392761230469,315.9595947265625,180.85528564453125,111.71219635009766,48.265350341796875,133.13893127441406,53.91389846801758,230.98789978027344,124.53597259521484,71.3993148803711,291.822998046875,133.9138946533203,43.28363037109375,146.29820251464844,80.69453430175781,152.7770233154297,432.7649230957031,207.986328125,41.154090881347656,44.680206298828125
2022-01-21,159.07302856445312,200.56674194335938,151.01356506347656,205.44000244140625,199.23809814453125,216.00546264648438,50.368629455566406,107.99207305908203,134.21922302246094,45.160396575927734,310.7532043457031,315.5257568359375,177.5484619140625,110.4568862915039,48.265350341796875,130.8126983642578,53.64764404296875,232.32015991210938,123.8758544921875,70.71849060058594,286.4335632324219,134.12033081054688,42.27460479736328,146.8580780029297,79.64429473876953,150.40005493164062,431.0544738769531,199.8162841796875,40.96913146972656,44.354331970214844
2022-01-24,158.2992706298828,199.122314453125,151.19427490234375,204.1999969482422,199.46145629882812,220.35264587402344,50.56413650512695,108.2218246459961,134.29737854003906,45.080780029296875,310.2834167480469,328.8210144042969,176.98580932617188,110.00433349609375,48.172603607177734,130.69546508789062,53.21278381347656,231.42587280273438,123.98346710205078,69.70164489746094,286.7625732421875,136.98190307617188,41.273597717285156,145.666015625,80.47534942626953,156.15296936035156,432.0826721191406,195.85745239257812,40.81499481201172,44.357486724853516
2022-01-25,156.49703979492188,198.20628356933594,164.68408203125,204.10000610351562,199.44287109375,212.80438232421875,49.86209487915039,112.82538604736328,133.36923217773438,45.526649475097656,308.6207275390625,324.4554748535156,175.1245880126953,116.22098541259766,47.30078887939453,132.12005615234375,53.08854293823242,228.75218200683594,124.66510009765625,70.2586898803711,279.13800048828125,136.49404907226562,42.074405670166016,144.0766143798828,82.47537231445312,155.9402618408203,427.0072021484375,196.0029754638672,40.76875686645508,43.39250564575195
2022-01-26,156.408935546875,196.00436401367188,166.78652954101562,194.27000427246094,199.42425537109375,208.46705627441406,49.168949127197266,112.91047668457031,130.5261688232422,45.55849838256836,309.6418151855469,322.9190368652344,173.6962432861328,114.64973449707031,47.94073486328125,133.37339782714844,52.89330291748047,227.99478149414062,121.47228240966797,69.97573852539062,287.0915222167969,135.09605407714844,42.450782775878906,142.82131958007812,81.26075744628906,155.25579833984375,428.4933776855469,199.75811767578125,39.31987762451172,42.949562072753906
2022-01-27,155.9485626220703,197.29026794433594,163.53298950195312,189.75,197.45132446289062,210.18617248535156,48.53800582885742,115.19097137451172,132.30430603027344,47.915245056152344,308.1509094238281,322.1507873535156,173.6962432861328,113.16387939453125,44.564762115478516,131.02003479003906,52.937679290771484,226.98187255859375,122.08930206298828,71.2490005493164,290.1200256347656,135.70591735839844,43.06401443481445,143.7063446044922,81.53473663330078,153.22100830078125,431.4563903808594,200.02978515625,39.450897216796875,42.97804260253906
2022-01-28,166.83033752441406,201.81741333007812,168.44183349609375,190.57000732421875,187.20513916015625,219.46347045898438,49.41777038574219,111.14053344726562,135.44046020507812,47.80377197265625,313.5543518066406,331.28851318359375,174.85623168945312,114.85467529296875,44.267967224121094,132.1922149658203,53.99375534057617,233.68894958496094,117.02376556396484,71.53194427490234,298.2671203613281,136.89747619628906,43.83864212036133,144.94357299804688,82.49363708496094,154.29388427734375,435.62518310546875,221.23110961914062,40.76875686645508,43.50957107543945
2022-01-31,171.18882751464844,200.05589294433594,171.06747436523438,200.24000549316406,187.5773468017578,229.83743286132812,49.47108459472656,111.75321197509766,139.68060302734375,47.55696105957031,320.4848327636719,331.6861877441406,177.01171875,114.06053924560547,45.27891159057617,133.98651123046875,54.144622802734375,236.75502014160156,119.11885833740234,72.04478454589844,300.89892578125,138.92404174804688,42.51533508300781,144.89840698242188,82.36576843261719,153.70191955566406,441.7100524902344,219.45545959472656,41.02307891845703,44.23409652709961
