Date,EEM,GLD,SPY
2023-12-12,36.73550796508789,183.49000549316406,451.07489013671875
2023-12-13,37.100521087646484,187.6300048828125,457.2952575683594
2023-12-14,37.643367767333984,188.72999572753906,458.76287841796875
2023-12-15,37.41874313354492,187.0,458.0075378417969
2023-12-18,37.4000244140625,187.85000610351562,460.5838928222656
2023-12-19,37.71824264526367,189.1300048828125,463.3846130371094
2023-12-20,37.03925323486328,188.10000610351562,456.9633483886719
2023-12-21,37.73540496826172,189.42999267578125,461.2962646484375
2023-12-22,37.55421447753906,190.27000427246094,462.22332763671875
2023-12-26,37.8498420715332,191.72000122070312,464.175048828125
2023-12-27,38.069175720214844,192.58999633789062,465.01434326171875
2023-12-28,38.364810943603516,191.47000122070312,465.19000244140625
2023-12-29,38.345733642578125,191.1699981689453,463.8432922363281
2024-01-02,37.897525787353516,190.72000122070312,461.2474670410156
2024-01-03,37.68772506713867,189.1300048828125,457.4805908203125
2024-01-04,37.563751220703125,189.32000732421875,456.00701904296875
2024-01-05,37.61143112182617,189.35000610351562,456.63153076171875
2024-01-08,37.71633529663086,187.8699951171875,463.1504211425781
2024-01-09,37.18230056762695,187.92999267578125,462.44781494140625
2024-01-10,37.096473693847656,187.5,465.0631103515625
2024-01-11,37.249053955078125,187.8699951171875,464.85821533203125
2024-01-12,37.38256072998047,189.7100067138672,465.18023681640625
2024-01-16,36.47660446166992,187.91000366210938,463.4724426269531
2024-01-17,35.93303680419922,185.83999633789062,460.8961486816406
2024-01-18,36.22866439819336,187.3699951171875,464.9947814941406
2024-01-19,36.61011505126953,187.92999267578125,470.79150390625
2024-01-22,36.2858772277832,187.22000122070312,471.7869567871094
2024-01-23,36.600582122802734,187.9499969482422,473.16290283203125
2024-01-24,37.01064682006836,186.39999389648438,473.6801452636719
2024-01-25,37.058326721191406,187.13999938964844,476.2564392089844
2024-01-26,37.08693313598633,187.00999450683594,475.6513977050781
2024-01-29,37.10600280761719,188.3300018310547,479.4182434082031
2024-01-30,36.81037521362305,188.58999633789062,479.0474548339844
2024-01-31,36.61011505126953,188.4499969482422,471.2306823730469
2024-02-01,36.96296310424805,190.41000366210938,477.3981628417969
2024-02-02,36.858062744140625,188.61000061035156,482.4239501953125
2024-02-05,36.90574264526367,187.57000732421875,480.6673583984375
2024-02-06,37.74494552612305,188.5500030517578,482.06292724609375
2024-02-07,37.792625427246094,188.5,486.08349609375
2024-02-08,37.58282470703125,188.3300018310547,486.29815673828125
2024-02-09,37.74494552612305,187.60000610351562,489.1087341308594
2024-02-12,38.04056930541992,187.11000061035156,488.8940124511719
2024-02-13,37.32533645629883,184.52999877929688,482.16046142578125
2024-02-14,37.859378814697266,184.4199981689453,486.5421447753906
2024-02-15,38.04056930541992,185.66000366210938,489.899169921875
2024-02-16,38.221763610839844,186.33999633789062,487.4595031738281
2024-02-20,38.27897644042969,187.47000122070312,484.7758483886719
2024-02-21,38.345733642578125,187.47999572753906,485.2149353027344
2024-02-22,38.73672103881836,187.55999755859375,495.2567138671875
2024-02-23,38.7176513671875,188.6199951171875,495.5982360839844
2024-02-26,38.545997619628906,188.1999969482422,493.7831115722656
2024-02-27,38.622291564941406,188.0,494.7004699707031
2024-02-28,38.11686325073242,188.33999633789062,494.0466003417969
2024-02-29,38.13593673706055,189.30999755859375,495.8226623535156
2024-03-01,38.60321807861328,192.88999938964844,500.4776306152344
2024-03-04,38.51738739013672,196.00999450683594,499.9408874511719
2024-03-05,38.174076080322266,197.19000244140625,494.94439697265625
2024-03-06,38.72718811035156,198.80999755859375,497.4524230957031
2024-03-07,38.96560287475586,199.94000244140625,502.39031982421875
2024-03-08,38.927452087402344,201.6300048828125,499.3748779296875
2024-03-11,39.01327896118164,202.0,498.9455261230469
2024-03-12,39.44241714477539,199.7899932861328,504.3127746582031
2024-03-13,39.31844711303711,201.19000244140625,503.52239990234375
2024-03-14,39.11818313598633,200.35000610351562,502.5269775390625
2024-03-15,38.87976837158203,199.7100067138672,499.0763244628906
2024-03-18,38.9465217590332,200.02999877929688,502.04241943359375
2024-03-19,38.75579833984375,199.8000030517578,504.8323974609375
2024-03-20,39.1944694519043,202.17999267578125,509.5017395019531
2024-03-21,39.242156982421875,201.97000122070312,511.1853942871094
2024-03-22,38.96560287475586,200.35000610351562,510.2162780761719
2024-03-25,38.99420166015625,200.99000549316406,508.80670166015625
2024-03-26,38.96560287475586,201.63999938964844,507.86688232421875
2024-03-27,39.032352447509766,203.10000610351562,512.1349487304688
2024-03-28,39.17539596557617,205.72000122070312,512.0370483398438
2024-04-01,39.242156982421875,207.82000732421875,511.1462097167969
2024-04-02,39.366127014160156,210.88999938964844,507.8963317871094
2024-04-03,39.39473342895508,212.74000549316406,508.4542236328125
2024-04-04,39.251686096191406,211.52000427246094,502.2480163574219
2024-04-05,39.33751678466797,215.13999938964844,507.494873046875
2024-04-08,39.59499740600586,216.47999572753906,507.77880859375
2024-04-09,39.86201858520508,217.6699981689453,508.3662109375
2024-04-10,39.31844711303711,215.61000061035156,503.2758483886719
2024-04-11,39.556854248046875,219.8000030517578,507.07403564453125
2024-04-12,38.65089797973633,216.88999938964844,500.0748291015625
2024-04-15,38.4029541015625,220.9499969482422,493.809814453125
2024-04-16,37.897525787353516,221.22000122070312,492.9092102050781
2024-04-17,37.86891555786133,219.58999633789062,489.9920654296875
2024-04-18,38.0214958190918,220.33999633789062,488.9837951660156
2024-04-19,37.86891555786133,221.02999877929688,484.71575927734375
2024-04-22,38.27897644042969,215.57000732421875,489.1795654296875
2024-04-23,38.59368133544922,215.0399932861328,494.9844665527344
2024-04-24,38.72718811035156,214.63999938964844,494.7495422363281
2024-04-25,38.81301498413086,215.9199981689453,492.8700866699219
2024-04-26,39.26122283935547,216.6199951171875,497.53948974609375
2024-04-29,39.64268112182617,216.17999267578125,499.30145263671875
2024-04-30,39.08957290649414,211.8699951171875,491.3919677734375
2024-05-01,39.12771224975586,213.7899932861328,489.7962951660156
2024-05-02,40.138572692871094,213.1300048828125,494.3775634765625
2024-05-03,40.50095748901367,212.9600067138672,500.5055847167969
2024-05-06,40.53909683227539,215.1999969482422,505.6741943359375
2024-05-07,40.31022262573242,214.2100067138672,506.2321472167969
2024-05-08,40.31976318359375,213.5800018310547,506.2810363769531
2024-05-09,40.44373321533203,216.9499969482422,509.1982727050781
2024-05-10,40.52956008911133,218.7100067138672,509.85418701171875
2024-05-13,40.8347282409668,216.25999450683594,509.9225769042969
2024-05-14,41.05406188964844,218.08999633789062,512.2621459960938
2024-05-15,41.492733001708984,220.88999938964844,518.6055908203125
2024-05-16,41.57855987548828,220.02999877929688,517.5384521484375
2024-05-17,41.7597541809082,223.66000366210938,518.2825317382812
2024-05-20,41.607173919677734,224.55999755859375,518.879638671875
2024-05-21,41.349693298339844,224.22999572753906,520.1522216796875
2024-05-22,41.216182708740234,220.11000061035156,518.6544799804688
2024-05-23,40.9110221862793,215.72000122070312,514.8661499023438
2024-05-24,41.02545166015625,215.9199981689453,518.272705078125
2024-05-28,40.96823501586914,218.19000244140625,518.6348876953125
2024-05-29,40.357906341552734,216.16000366210938,515.0031127929688
2024-05-30,40.243473052978516,216.57000732421875,511.5867614746094
