ticker
AAPL
MSFT
JPM
V
UNH
HD
KO
PG
DIS
CRM
INTC
VZ
MRK
WMT
PFE
CSCO
BA
NKE
CAT
IBM
GS
TRV
MMM
AXP
DOW
CVX
RTX
AMGN
HON
MCD
