period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,kappa,delta,n_assets,n_invested,sum_w,money
2024-01-08,0.08726667,0.02567403,0.07043658,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-01-10,0.00876287,-0.00250522,0.00849154,0,0.00000000,1.00000000,20,3,1.00000000,1000.00000000
2024-01-12,0.02042660,-0.02169095,0.01611978,0,0.00000000,1.00000000,20,3,1.00000000,1000.00000000
2024-01-17,0.03278233,0.00197516,0.01680423,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-01-19,0.03305167,0.00885961,0.02119025,0,0.00000000,1.00000000,20,2,1.00000000,1000.00000000
2024-01-23,0.03947849,0.00342707,0.02493673,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-01-25,0.14094101,0.00255618,0.11730892,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-01-29,0.03196877,0.01145051,0.02427615,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-01-31,0.09137844,-0.00725965,0.07925871,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-02-02,0.02118863,-0.00901149,0.01141317,0,0.00000000,1.00000000,20,3,1.00000000,1000.00000000
2024-02-06,0.08535887,-0.00678957,0.06357206,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-02-08,0.01701068,0.00220732,0.00251702,0,0.00000000,1.00000000,20,3,1.00000000,1000.00000000
2024-02-12,0.13922526,-0.01265861,0.12582514,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-02-14,0.01436392,-0.00030479,0.00224389,0,0.00000000,1.00000000,20,3,1.00000000,1000.00000000
2024-02-16,0.03848932,-0.00359698,0.02284706,0,0.00000000,1.00000000,20,2,1.00000000,1000.00000000
2024-02-21,0.18369010,-0.01109749,0.17128216,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-02-23,0.04586747,0.01207868,0.03387862,0,0.00000000,1.00000000,20,2,1.00000000,1000.00000000
2024-02-27,0.15204999,0.00443366,0.13839674,0,0.00000000,1.00000000,20,1,1.00000000,1000.00000000
2024-02-29,-0.00057196,0.00019187,-0.17144976,1,20.49368956,1.00000000,20,6,1.00000000,1000.00000000
2024-03-04,-0.01071676,0.00065831,-0.23648735,1,39.07120304,1.00000000,20,8,1.00000000,1000.00000000
2024-03-06,0.00907857,-0.00022730,-0.24891778,1,38.66762927,1.00000000,20,9,1.00000000,1000.00000000
2024-03-08,-0.00344266,-0.00234110,-0.19707880,1,27.04315844,1.00000000,20,7,1.00000000,1000.00000000
2024-03-12,0.06644089,-0.00139211,-0.00902054,1,6.73330366,1.00000000,20,6,1.00000000,1000.00000000
2024-03-14,0.02562152,-0.00479558,-0.04622947,1,8.47684245,1.00000000,20,6,1.00000000,1000.00000000
2024-03-18,0.01554402,0.00122058,-0.14562899,1,19.24983000,1.00000000,20,6,1.00000000,1000.00000000
2024-03-20,-0.01106105,0.00239810,-0.27018922,1,30.31384109,1.00000000,20,8,1.00000000,1000.00000000
2024-03-22,0.04395394,-0.00363737,-0.07316306,1,10.67671630,1.00000000,20,6,1.00000000,1000.00000000
2024-03-26,0.00610127,0.00017825,-0.05459249,1,6.43540047,1.00000000,20,4,1.00000000,1000.00000000
2024-03-28,0.02976926,-0.00152087,-0.04079344,1,5.98898648,1.00000000,20,5,1.00000000,1000.00000000
2024-04-02,0.00912269,-0.00138596,-0.14378786,1,16.77814913,1.00000000,20,8,1.00000000,1000.00000000
2024-04-04,0.04421707,-0.00714171,-0.05522639,1,8.22476813,1.00000000,20,9,1.00000000,1000.00000000
2024-04-08,0.01393123,-0.00007269,-0.06140335,1,9.19388835,1.00000000,20,10,1.00000000,1000.00000000
2024-04-10,0.00577259,-0.00626414,-0.23788376,1,36.59185649,1.00000000,20,7,1.00000000,1000.00000000
2024-04-12,0.00340563,-0.00835360,-0.05670065,1,11.65852442,1.00000000,20,12,1.00000000,1000.00000000
2024-04-16,-0.00147437,0.00096623,-0.40361994,1,68.92372990,1.00000000,20,12,1.00000000,1000.00000000
